"","1G.0H.2","1G.0H.4","1G.0H.5","1G.4H.2","1G.4H.4","1G.4H.5","VG.0H.2","VG.0H.4","VG.0H.5","VG.4H.2","VG.4H.4","VG.4H.5"
"200061_s_at",10.2820188131052,10.6411549777343,9.43478125790568,10.4991263339876,10.7655055234055,8.77093400750397,10.610570111153,9.17487502517752,8.7512324125487,9.45528046671607,10.6624281543057,8.31639739320942
"200062_s_at",10.4457910293237,11.122789235866,9.93960863170763,11.0119025985645,11.1192677572801,9.40873030334794,11.1395159525748,10.5667430488158,11.0040965153728,10.4958549698356,10.0935364143744,10.3700925600464
"200063_s_at",8.13765691127678,9.50814765994187,7.7797080955972,7.57198171003995,8.71481444725586,6.67135779888385,8.93774520196265,7.25400538751574,6.98860926422879,7.75153610237694,6.96525564984021,8.29578234749836
"200064_at",10.2323106743135,10.8982374114006,8.80344699256525,8.82538262917409,8.68525599398431,9.08996912868355,8.62952566192881,9.40707501820135,8.823001418809,9.26786968933238,8.54342524690076,10.0475679162751
"200065_s_at",8.15663081189671,8.51319861894688,8.10737773695124,6.34135967636728,9.4189944905615,6.85239084554812,8.48444247810528,7.29430892514118,7.60328172431215,7.76104666634548,7.26291666612791,7.83951734432091
"200066_at",6.2426543403039,6.54211512721527,6.68640068749187,5.44596676810013,7.08837538240256,4.61743813436316,6.09063757981792,5.90764279860308,6.12183360982851,5.43771403914725,6.20782276852074,7.51001746937042
"200067_x_at",7.02407812008191,6.37988440499472,4.93971811035208,6.1983220574898,6.82497365840594,5.34885145162728,6.18650353213491,5.61741070388001,6.42857020109837,6.48969057360321,6.73692620779704,5.63659735140002
"200068_s_at",8.00918471326944,8.78564124549327,6.61153801623297,8.31542295183298,8.94376328087298,8.72502602486491,8.32063364654332,7.77838459090805,8.75111409371982,9.568226819111,8.32816544027071,7.86049236630282
"200069_at",4.10894160315621,5.02293533754567,3.58484489135701,5.53695325749565,4.55850218911561,4.3911143051636,4.61594400395209,3.7722938179941,3.86325876148056,4.92888722187728,4.22331220011378,3.88988940857207
"200070_at",5.17938798202373,4.45818748440108,4.18596096755288,4.45769477522497,4.10894160315621,3.84913504895608,4.58191747429866,3.96249992613663,3.26646431167636,3.75691087560761,4.81915958373846,3.51096745520764
"200071_at",3.27355344037065,5.14531708605452,3.79384225508397,4.98946539399404,3.66514922029196,4.07842803219096,5.22483512213423,4.19451014542041,3.67833386314079,3.7629992746118,4.28076471395817,3.68068531870103
"200072_s_at",7.86610485459701,7.53566657519879,7.10435318375751,7.0424343626926,7.54096432400325,7.17401473836768,7.24034064668331,6.19808104821771,7.59586770006198,7.45710513923973,6.7438837212772,8.04017575689787
"200073_s_at",4.7833246503571,4.94578063697452,3.67688160655354,3.89027236227093,3.93598749060735,4.20924060201577,5.21430150214053,3.31480594821552,3.48859601015122,4.09739527058451,3.91998377700943,3.68084163376837
"200074_s_at",9.62610970782154,9.47381239330396,8.6143240131939,9.56999051291545,9.60887591679259,8.02823697856855,9.47851581093529,8.05896152481982,8.64777316780183,8.74087817866189,9.27615358233881,8.25893473999954
"200075_s_at",6.38783090814045,6.17975119833377,5.54250728695028,5.6187902261596,6.57285808012306,5.80408984183583,6.60495179185093,6.09734661282037,5.78020541312062,5.74685826524383,5.72805163816575,6.23821394952009
"200076_s_at",5.26137154754301,5.07423226293453,5.32104222437592,5.1338654178945,5.20785104519131,5.37433574315897,5.25375187678699,4.99851921524371,5.0206742387099,5.1951103080207,5.30919249650708,4.08088395581902
"200077_s_at",9.14037648265001,9.73156033881726,6.83106876228555,8.76211524439181,8.20617626944061,9.04291253348936,9.40365229545611,8.46325455160352,9.01676197682281,9.27709351346198,9.82712842114026,7.91380871536018
"200078_s_at",6.69788880431523,6.68698971613813,4.5558926619558,4.47788153802163,6.4149504314893,6.06354251236143,5.45593776412812,4.39928270570866,5.98174253987705,5.9609011158213,6.66686274036331,5.76968813079216
"200079_s_at",6.06760270121061,6.50823529000788,5.47116666497654,5.22047751626023,6.28682579612839,6.17553189925696,5.68821934956163,5.23796608061745,6.56868233281659,6.07229895831142,6.05433594720094,6.48197232118194
"200080_s_at",7.21006286331582,8.41215231395396,4.87492109790418,5.93421322587256,7.35302988571897,5.93695192414092,7.26594277707511,5.54817398834169,6.09882317775998,6.06390804825458,6.18638066414602,5.99477104403954
"200081_s_at",10.1547949829401,10.3758895063087,9.08398416503518,9.43586544621012,9.82175637597832,8.97858619290225,10.2674890715177,8.78031646163249,8.36620827970076,8.95048310875137,9.98945210213141,8.629744138506
"200082_s_at",10.0333484865345,9.44215135899649,8.79141463876149,8.63185926914494,9.00918044940074,8.13223118590502,8.73421089830778,6.99871852890395,8.9773021025137,8.75467570229229,9.41914390601569,8.7360770171302
"200083_at",4.79423081673673,6.184724808053,4.70281390712644,5.26527972316934,5.66914715183762,5.47651656432064,5.49626810008062,3.98304873027956,4.90628971150426,5.03596771875276,6.20872292655052,4.38486226334478
"200084_at",6.23348841412535,7.16219115752464,4.78150879434983,6.07568506661836,6.86310344547233,5.30504009283568,7.06730755552013,5.17215754581048,5.07714947788357,5.84858615608256,6.00775756088772,5.04030695938037
"200085_s_at",6.59851248678637,6.79656961916776,6.28640448131046,5.28720852489328,6.79774799031053,5.82017894974688,6.34828361318844,6.07394439698494,7.3449382200997,6.92868992118767,6.57940139050584,7.5767088000874
"200086_s_at",8.76384390650646,8.96084201833919,8.99865137230053,7.38595817071896,8.84163933863473,6.76472599426041,8.49360348340698,7.47712541994422,8.32751557932683,7.04635052889887,7.74985816059913,8.57932259066989
"200087_s_at",6.00937924408857,7.16176139961722,4.78866963406757,6.14846574151248,6.36916177458939,8.01543375984592,6.26567031286239,3.83017164034058,4.44544313607803,6.89802113868574,7.65660502924486,4.7068832065153
"200088_x_at",11.422662532051,11.2892976769495,10.9594579534881,11.4333920286433,11.1361554089311,10.870981162434,11.0819152847063,11.0584688187067,11.1159610895284,11.0433422181805,10.9269414840709,10.8587332788667
"200089_s_at",8.2671073504418,8.80723935994163,9.26473655008926,8.39931083965249,9.01906559971748,7.89517682075317,8.71306393694673,7.28838825816269,7.84992253548866,7.86250845868903,7.96096976503855,8.45990576021355
"200090_at",5.94871134887449,6.57693383709471,5.81626415312796,6.73130238684066,6.17574650026472,5.83818229753079,6.39635035148576,5.48207598035031,6.11623850281917,6.45173933783905,6.08831513332134,5.96681034132376
"200091_s_at",6.9333468730513,8.61791835267496,7.93394972855354,7.05969641075449,8.82862426921336,5.97812238468744,8.04940914428774,7.46349370389999,7.58584713780745,6.03888858245859,7.07449536201561,7.52148949054295
"200092_s_at",8.72448732183347,9.64823487527681,9.77131478897693,7.92345152713756,9.86545373467796,7.74498208706935,9.5509091014775,8.86741383621858,8.25116695892627,8.16748106606994,8.31959090306298,8.75564417784581
"200093_s_at",6.75859413353502,8.21599940899883,5.75473583105525,6.77954330214739,6.16516318051465,6.00939644879572,6.46468251667891,5.79604022505648,5.85299150565258,7.16780785001271,6.28142580110435,6.68071169162778
"200094_s_at",9.36946709384216,9.76421037302609,9.29666186982604,9.24515797694157,9.64281143081995,9.49565403826894,9.13556140186027,8.31619554264777,9.68586272139073,9.0945006283939,9.32410986398625,9.70711594334875
"200095_x_at",11.4616719723552,11.5178093052105,11.1331803655367,11.3083896384237,11.5198823503417,11.1700781954403,11.3754325334914,10.8842148302323,11.9556965000861,11.2286308507991,11.5136094783571,11.3864373405394
"200096_s_at",6.79848586281121,6.62104470243287,5.4837581150953,6.35633694138572,6.17905002977442,6.33249130874462,5.99806568143791,6.29285915326783,6.75144108606422,6.52507096840145,6.94023265304083,6.66964940205002
"200097_s_at",6.25104051927765,6.30324974732592,4.84247383702919,6.27689340438745,5.24894626783396,6.0530230172346,6.06164104404334,3.80129943383276,5.55979814622004,5.33155074132301,7.24392804137475,4.5248928598048
"200098_s_at",7.38097282364577,6.65651880782077,6.38530245188559,6.0334148259491,7.49128620998671,5.01253808734849,7.05870147848129,6.60221946937978,7.38538615405957,6.2561570728734,7.33510418827332,7.67475094963393
"200099_s_at",10.29904011945,10.0681223644649,9.27677067095249,10.5517482321624,9.6561349701043,9.60275366442858,10.1314336981313,8.30057533888319,8.44228959538569,9.06164922743965,9.08323970386381,8.14631504207409
"200593_s_at",7.42699757223508,8.02486625825389,7.28715795341359,6.06150823451716,6.96729177691006,6.32347131288252,6.52176129100219,6.29509744580972,6.91598127766718,6.79720519445544,6.24575416723191,7.29093529416984
"200595_s_at",4.93637721232051,6.34713132286741,3.87328491884213,3.32660447995124,5.73814771549921,4.03138681904438,4.74491268818859,2.9563508492117,4.23106471821015,4.62922713184433,5.23452514953293,4.18113308586728
"200599_s_at",5.31322553330424,6.05443627956247,4.43532241842963,4.93112487456404,5.41278390746153,7.05384454750653,5.43006386346824,5.23909700143395,5.09775015602434,5.97255990026524,5.61798537226801,4.74941544411987
"200600_at",7.04203756686955,8.51918470513708,5.1890429555399,5.26787439722538,7.10223583582012,5.40729188401089,6.98061073860866,3.63401939524568,6.06239523861609,6.00747497799962,6.11636584787024,6.75705410968386
"200601_at",6.62336064830265,5.93478057816193,5.68784056975184,6.52137342812336,6.48183809070757,6.46503094866315,6.23111667466442,5.60737514436112,6.45539636423869,6.27849422499089,6.55029847756024,6.71665394478383
"200602_at",1.96922792133056,1.86173486246879,2.10517502551236,2.12192512778027,2.26110216137509,1.91205086457169,1.95511867621349,2.10714280735566,1.98842088848545,1.78098728005615,2.52655448504107,1.87666624644286
"200603_at",3.61777059368889,5.41543312110421,2.75343690713262,4.03164385651078,5.24457765329172,3.68493457384443,5.14705632467596,2.46936793166066,3.8984399151144,3.77546511641232,4.30946660898288,3.6627000147777
"200606_at",2.3181683253096,2.14387712265267,3.02446097493726,3.12466106651549,2.12825896913951,2.62935979324496,2.21524489529222,2.63341790831403,2.48233819213054,2.74720938991268,2.82318508934892,2.37663138290538
"200608_s_at",4.41851043394442,5.22528775521382,3.0169246615793,2.98096344798644,4.35725293751712,3.49962763325743,4.29212509946467,2.40182368991483,3.70549604982208,4.51646777013807,4.15570819999435,3.43395726897417
"200609_s_at",7.27301010662415,7.28191905533729,6.54283902012451,5.93157554377371,7.00953343493537,7.82538924760383,6.08693278880511,6.04513811701813,7.71638845642026,7.87028952746375,7.55343321780795,7.16174570191706
"200610_s_at",7.58010822266891,8.36990185856777,6.54882146129549,6.8962890085033,6.73613078401493,6.97231145093079,7.22696629113489,5.63717506189596,6.27598892976814,7.17825304064071,7.33036474534745,6.18625084051049
"200612_s_at",5.41050957587859,5.93847960830609,5.07304970925269,4.80927701375513,5.9799683309178,4.60978906873314,5.12226552932712,5.63566691414685,6.30326855507393,5.60426096417356,5.63612494477231,6.80247667777549
"200613_at",5.72307811365065,5.86344180706907,4.90081282974899,5.13459785991386,6.03428744009422,4.85793423520804,4.87912594849176,4.30510596529473,6.35578645075142,6.43757177012913,5.82922877231747,5.90941367171226
"200614_at",6.66819190501694,8.20191145616775,5.11390884053787,5.11496667047273,6.92295715479973,7.3500028146313,6.13262943126058,4.33667658557686,6.67678040171428,7.87318246073975,7.31211334578364,5.97573297867454
"200618_at",5.34685713432247,5.42172996510411,6.12652952883189,3.58106634873407,6.27091498824925,3.30411383832903,5.45020487381187,4.94363679004566,5.55553488893594,3.9464122991179,6.24962420765836,6.65049116143939
